tradingsymbol,exchange,instrument_token,product,quantity,overnight_quantity,multiplier,average_price,close_price,last_price,value,pnl,m2m,unrealised,realised,buy_quantity,buy_price,buy_value,buy_m2m,sell_quantity,sell_price,sell_value,sell_m2m,day_buy_quantity,day_buy_price,day_buy_value,day_sell_quantity,day_sell_price,day_sell_value,source,key,ltp,open,high,low,close,qty,Invested,value_H,PnL,PnL_H,PnL%,PnL%_H,Yvalue,dPnL,dPnL%
ADVANIHOTR,BSE,133956868,CNC,-213,0,1,120.9,0,119.2,-25389.6,362.09999999999854,362.09999999999854,362.09999999999854,0,0,0.0,0.0,0.0,213,120.9,25751.7,25751.7,0,0.0,0.0,213,120.9,25751.7,positions,BSE:ADVANIHOTR,119.2,120.0,122.4,116.3,114.8,-213,-25751.7,-26066.94,362.1,-315.23999999999796,-1.4,1.2,-24463.0,-926.6,3.8
BAJAJHIND,BSE,128008196,CNC,-853,0,1,30.5,0,33.98,-28984.9,-2934.3199999999997,-2934.3199999999997,-2934.3199999999997,0,0,0.0,0.0,0.0,853,30.54,26050.62,26050.62,0,0.0,0.0,853,30.54,26050.62,positions,BSE:BAJAJHIND,34.0,30.5,34.9,30.1,29.3,-853,-26050.6,-29752.640000000003,-2934.3,-3702.020000000004,11.3,14.2,-24958.8,-4026.2,16.1
IFGLEXPOR,BSE,138438148,CNC,-49,0,1,567.4,0,598.0,-29302.0,-1501.8499999999985,-1501.8499999999985,-1501.8499999999985,0,0,0.0,0.0,0.0,49,567.35,27800.15,27800.15,0,0.0,0.0,49,567.35,27800.15,positions,BSE:IFGLEXPOR,598.0,566.0,603.0,560.1,502.5,-49,-27800.2,-29547.0,-1501.8,-1746.8499999999985,5.4,6.3,-24622.5,-4679.5,19.0
INOXWIND,BSE,138005252,CNC,-113,0,1,225.4,0,238.3,-26927.9,-1457.7000000000007,-1457.7000000000007,-1457.7000000000007,0,0,0.0,0.0,0.0,113,225.4,25470.2,25470.2,0,0.0,0.0,113,225.4,25470.2,positions,BSE:INOXWIND,238.3,219.0,240.0,216.4,215.0,-113,-25470.2,-27120.0,-1457.7,-1649.7999999999993,5.7,6.5,-24295.0,-2632.9,10.8
NAM-INDIA,BSE,138436356,CNC,-64,0,1,400.0,0,403.55,-25827.2,-228.95000000000073,-228.95000000000073,-228.95000000000073,0,0,0.0,0.0,0.0,64,399.97265625,25598.25,25598.25,0,0.0,0.0,64,399.97265625,25598.25,positions,BSE:NAM-INDIA,403.6,397.7,406.8,392.0,393.6,-64,-25598.2,-26035.2,-229.0,-436.9500000000007,0.9,1.7,-25193.6,-633.6,2.5
SATIN,BSE,138087428,CNC,-94,0,1,270.6,0,264.7,-24881.8,554.6000000000022,554.6000000000022,554.6000000000022,0,0,0.0,0.0,0.0,94,270.6,25436.4,25436.4,0,0.0,0.0,94,270.6,25436.4,positions,BSE:SATIN,264.7,266.8,271.8,263.2,262.8,-94,-25436.4,-25549.2,554.6,-112.79999999999927,-2.2,0.4,-24698.5,-183.3,0.7
SPANDANA,BSE,138946308,CNC,-27,0,1,932.1,0,900.85,-24323.0,842.6500000000015,842.6500000000015,842.6500000000015,0,0,0.0,0.0,0.0,27,932.0592592592593,25165.600000000002,25165.600000000002,0,0.0,0.0,27,932.0592592592593,25165.600000000002,positions,BSE:SPANDANA,900.8,927.0,948.0,894.8,918.6,-27,-25165.6,-25594.65,842.7,-429.0499999999993,-3.3,1.7,-24800.8,477.9,-1.9
TEXINFRA,BSE,129382404,CNC,-286,0,1,89.3,0,92.53,-26463.6,-937.7800000000025,-937.7800000000025,-937.7800000000025,0,0,0.0,0.0,0.0,286,89.25104895104894,25525.8,25525.8,0,0.0,0.0,286,89.25104895104894,25525.8,positions,BSE:TEXINFRA,92.5,87.0,97.6,85.9,86.4,-286,-25525.8,-27899.3,-937.8,-2373.5,3.7,9.3,-24696.1,-1767.5,7.2
TPLPLAST,BSE,134804996,CNC,-463,0,1,55.5,0,54.98,-25455.7,228.34000000000378,228.34000000000378,228.34000000000378,0,0,0.0,0.0,0.0,463,55.47317494600432,25684.08,25684.08,0,0.0,0.0,463,55.47317494600432,25684.08,positions,BSE:TPLPLAST,55.0,54.0,58.2,54.0,54.3,-463,-25684.1,-26941.969999999998,228.3,-1257.8899999999958,-0.9,4.9,-25150.2,-305.6,1.2
VAKRANGEE,BSE,130926340,CNC,-1336,0,1,19.3,0,18.71,-24996.6,788.239999999998,788.239999999998,788.239999999998,0,0,0.0,0.0,0.0,1336,19.3,25784.8,25784.8,0,0.0,0.0,1336,19.3,25784.8,positions,BSE:VAKRANGEE,18.7,18.8,19.4,18.4,18.7,-1336,-25784.8,-25864.96,788.2,-80.15999999999985,-3.1,0.3,-25009.9,13.4,-0.1
AEROFLEX,NSE,4676609,CNC,-154,0,1,171.0,0,163.1,-25117.4,1224.300000000003,1224.300000000003,1224.300000000003,0,0,0.0,0.0,0.0,154,171.05,26341.7,26341.7,0,0.0,0.0,154,171.05,26341.7,positions,NSE:AEROFLEX,163.1,165.0,172.7,162.2,163.4,-154,-26341.7,-26595.8,1224.3,-254.09999999999854,-4.6,1.0,-25155.9,38.5,-0.2
ASAHISONG,NSE,6422529,CNC,-88,0,1,297.7,0,283.45,-24943.6,1251.75,1251.75,1251.75,0,0,0.0,0.0,0.0,88,297.6744318181818,26195.35,26195.35,0,0.0,0.0,88,297.6744318181818,26195.35,positions,NSE:ASAHISONG,283.4,288.9,301.0,280.8,287.2,-88,-26195.4,-26483.6,1251.8,-288.25,-4.8,1.1,-25273.6,330.0,-1.3
ASTERDM,NSE,386049,CNC,29,0,1,339.5,0,335.45,9728.0,-116.55000000000109,-116.55000000000109,-116.55000000000109,0,29,339.4689655172414,9844.6,9844.6,0,0.0,0.0,0.0,29,339.4689655172414,9844.6,0,0.0,0.0,positions,NSE:ASTERDM,335.4,343.8,348.0,334.8,340.8,29,9844.6,10092.0,-116.6,247.39999999999964,-1.2,2.5,9884.7,-156.6,-1.6
BHEL,NSE,112129,CNC,78,0,1,128.4,0,130.05,10143.9,128.70000000000073,128.70000000000073,128.70000000000073,0,78,128.4,10015.2,10015.2,0,0.0,0.0,0.0,78,128.4,10015.2,0,0.0,0.0,positions,NSE:BHEL,130.0,129.4,131.2,127.6,128.6,78,10015.2,10233.599999999999,128.7,218.39999999999782,1.3,2.2,10030.8,113.1,1.1
ELECON,NSE,3492609,CNC,-28,0,1,931.4,0,922.85,-25839.8,238.0,238.0,238.0,0,0,0.0,0.0,0.0,28,931.35,26077.8,26077.8,0,0.0,0.0,28,931.35,26077.8,positions,NSE:ELECON,922.8,888.0,964.6,888.0,884.8,-28,-26077.8,-27007.399999999998,238.0,-929.5999999999985,-0.9,3.6,-24773.0,-1066.8,4.3
ERIS,NSE,5415425,CNC,12,0,1,865.4,0,860.95,10331.4,-53.39999999999782,-53.39999999999782,-53.39999999999782,0,12,865.4,10384.8,10384.8,0,0.0,0.0,0.0,12,865.4,10384.8,0,0.0,0.0,positions,NSE:ERIS,861.0,877.0,879.7,855.7,873.0,12,10384.8,10556.400000000001,-53.4,171.60000000000218,-0.5,1.7,10476.0,-144.6,-1.4
INDIGO,NSE,2865921,CNC,4,0,1,2553.0,0,2559.3,10237.2,25.200000000000728,25.200000000000728,25.200000000000728,0,4,2553.0,10212.0,10212.0,0,0.0,0.0,0.0,4,2553.0,10212.0,0,0.0,0.0,positions,NSE:INDIGO,2559.3,2500.0,2580.0,2486.2,2509.2,4,10212.0,10320.0,25.2,108.0,0.2,1.1,10036.8,200.4,2.0
INFIBEAM,NSE,4159745,CNC,-1282,0,1,20.0,0,20.6,-26409.2,-769.2000000000007,-769.2000000000007,-769.2000000000007,0,0,0.0,0.0,0.0,1282,20.0,25640.0,25640.0,0,0.0,0.0,1282,20.0,25640.0,positions,NSE:INFIBEAM,20.6,19.8,20.9,19.3,19.6,-1282,-25640.0,-26793.8,-769.2,-1153.7999999999993,3.0,4.5,-25127.2,-1282.0,5.1
IRB,NSE,3920129,CNC,284,0,1,35.2,0,34.8,9883.2,-113.60000000000218,-113.60000000000218,-113.60000000000218,0,284,35.2,9996.800000000001,9996.800000000001,0,0.0,0.0,0.0,284,35.2,9996.800000000001,0,0.0,0.0,positions,NSE:IRB,34.8,34.9,35.6,34.6,34.5,284,9996.8,10124.6,-113.6,127.79999999999927,-1.1,1.3,9798.0,85.2,0.9
IVC,NSE,1718017,CNC,-2824,0,1,9.2,0,9.95,-28098.8,-2118.0,-2118.0,-2118.0,0,0,0.0,0.0,0.0,2824,9.2,25980.8,25980.8,0,0.0,0.0,2824,9.2,25980.8,positions,NSE:IVC,10.0,9.1,10.5,8.6,8.8,-2824,-25980.8,-29652.0,-2118.0,-3671.2000000000007,8.2,14.1,-24851.2,-3247.6,13.1
KALYANKJIL,NSE,756481,CNC,31,0,1,320.0,0,321.4,9963.4,43.399999999999636,43.399999999999636,43.399999999999636,0,31,320.0,9920.0,9920.0,0,0.0,0.0,0.0,31,320.0,9920.0,0,0.0,0.0,positions,NSE:KALYANKJIL,321.4,308.0,324.2,307.0,304.6,31,9920.0,10051.75,43.4,131.75,0.4,1.3,9444.2,519.2,5.5
KFINTECH,NSE,3419905,CNC,21,0,1,478.2,0,477.5,10027.5,-14.699999999998909,-14.699999999998909,-14.699999999998909,0,21,478.19999999999993,10042.199999999999,10042.199999999999,0,0.0,0.0,0.0,21,478.2,10042.199999999999,0,0.0,0.0,positions,NSE:KFINTECH,477.5,472.0,480.0,467.4,469.7,21,10042.2,10078.949999999999,-14.7,36.75,-0.1,0.4,9863.7,163.8,1.7
L&TFH,NSE,6386689,CNC,70,0,1,142.4,0,142.45,9971.5,3.5,3.5,3.5,0,70,142.4,9968.0,9968.0,0,0.0,0.0,0.0,70,142.4,9968.0,0,0.0,0.0,positions,NSE:L&TFH,142.4,142.0,144.4,139.1,140.8,70,9968.0,10108.0,3.5,140.0,0.0,1.4,9859.5,112.0,1.1
LALPATHLAB,NSE,2983425,CNC,4,0,1,2628.0,0,2646.8,10587.2,75.40000000000146,75.40000000000146,75.40000000000146,0,4,2627.95,10511.8,10511.8,0,0.0,0.0,0.0,4,2627.95,10511.8,0,0.0,0.0,positions,NSE:LALPATHLAB,2646.8,2600.0,2651.0,2579.2,2594.6,4,10511.8,10604.0,75.4,92.20000000000073,0.7,0.9,10378.6,208.6,2.0
MANYAVAR,NSE,2090753,CNC,8,0,1,1309.5,0,1304.6,10436.8,-39.20000000000073,-39.20000000000073,-39.20000000000073,0,8,1309.5,10476.0,10476.0,0,0.0,0.0,0.0,8,1309.5,10476.0,0,0.0,0.0,positions,NSE:MANYAVAR,1304.6,1321.7,1321.7,1300.0,1302.6,8,10476.0,10573.6,-39.2,97.60000000000036,-0.4,0.9,10421.2,15.6,0.1
METROBRAND,NSE,1853953,CNC,8,0,1,1247.4,0,1261.15,10089.2,110.40000000000146,110.40000000000146,110.40000000000146,0,8,1247.35,9978.8,9978.8,0,0.0,0.0,0.0,8,1247.35,9978.8,0,0.0,0.0,positions,NSE:METROBRAND,1261.2,1250.0,1269.8,1218.6,1244.2,8,9978.8,10158.8,110.4,180.0,1.1,1.8,9953.6,135.6,1.4
ORICONENT,NSE,2600705,CNC,-787,0,1,33.4,0,33.7,-26521.9,-196.75,-196.75,-196.75,0,0,0.0,0.0,0.0,787,33.45,26325.15,26325.15,0,0.0,0.0,787,33.45,26325.15,positions,NSE:ORICONENT,33.7,33.0,34.0,32.6,31.2,-787,-26325.2,-26718.65,-196.8,-393.5,0.7,1.5,-24593.8,-1928.2,7.8
PGHH,NSE,648961,CNC,1,0,1,17629.2,0,17656.2,17656.2,27.0,27.0,27.0,0,1,17629.2,17629.2,17629.2,0,0.0,0.0,0.0,1,17629.2,17629.2,0,0.0,0.0,positions,NSE:PGHH,17656.2,17539.1,17750.0,17539.1,17538.1,1,17629.2,17750.0,27.0,120.79999999999927,0.2,0.7,17538.1,118.1,0.7
POWERGRID,NSE,3834113,CNC,48,0,1,208.2,0,208.2,9993.6,-2.400000000001455,-2.400000000001455,-2.400000000001455,0,48,208.25,9996.0,9996.0,0,0.0,0.0,0.0,48,208.25,9996.0,0,0.0,0.0,positions,NSE:POWERGRID,208.2,205.0,209.0,205.0,204.4,48,9996.0,10029.599999999999,-2.4,33.599999999998545,-0.0,0.3,9811.2,182.4,1.9
PRESTIGE,NSE,5197313,CNC,12,0,1,804.0,0,800.6,9607.2,-40.74999999999818,-40.74999999999818,-40.74999999999818,0,12,803.9958333333333,9647.949999999999,9647.949999999999,0,0.0,0.0,0.0,12,803.9958333333333,9647.949999999999,0,0.0,0.0,positions,NSE:PRESTIGE,800.6,780.0,805.5,773.0,780.2,12,9647.9,9666.0,-40.7,18.05000000000109,-0.4,0.2,9361.8,245.4,2.6
SHAKTIPUMP,NSE,6546945,CNC,-23,0,1,1122.5,0,1072.95,-24677.9,1139.6499999999978,1139.6499999999978,1139.6499999999978,0,0,0.0,0.0,0.0,23,1122.5,25817.5,25817.5,0,0.0,0.0,23,1122.5,25817.5,positions,NSE:SHAKTIPUMP,1073.0,1078.0,1128.0,1064.6,1057.0,-23,-25817.5,-25944.0,1139.6,-126.5,-4.4,0.5,-24311.0,-366.9,1.5
TATAMTRDVR,NSE,4343041,CNC,23,0,1,440.7,0,434.95,10003.8,-132.25,-132.25,-132.25,0,23,440.7,10136.1,10136.1,0,0.0,0.0,0.0,23,440.7,10136.1,0,0.0,0.0,positions,NSE:TATAMTRDVR,435.0,443.7,445.2,433.1,441.5,23,10136.1,10240.75,-132.2,104.64999999999964,-1.3,1.0,10154.5,-150.6,-1.5
TI,NSE,4914177,CNC,-104,0,1,247.7,0,252.1,-26218.4,-462.79999999999563,-462.79999999999563,-462.79999999999563,0,0,0.0,0.0,0.0,104,247.65000000000003,25755.600000000002,25755.600000000002,0,0.0,0.0,104,247.65,25755.600000000002,positions,NSE:TI,252.1,242.9,265.8,242.8,242.9,-104,-25755.6,-27638.0,-462.8,-1882.3999999999978,1.8,7.3,-25261.6,-956.8,3.8
TORNTPOWER,NSE,3529217,CNC,13,0,1,749.6,0,748.65,9732.4,-12.850000000002183,-12.850000000002183,-12.850000000002183,0,13,749.6384615384616,9745.300000000001,9745.300000000001,0,0.0,0.0,0.0,13,749.6384615384616,9745.300000000001,0,0.0,0.0,positions,NSE:TORNTPOWER,748.6,749.9,759.4,745.0,745.5,13,9745.3,9872.85,-12.9,127.54999999999927,-0.1,1.3,9691.5,40.9,0.4
UNIONBANK,NSE,2752769,CNC,95,0,1,105.0,0,103.85,9865.8,-109.25,-109.25,-109.25,0,95,105.0,9975.0,9975.0,0,0.0,0.0,0.0,95,105.0,9975.0,0,0.0,0.0,positions,NSE:UNIONBANK,103.8,105.6,105.8,103.5,104.5,95,9975.0,10051.0,-109.2,76.0,-1.1,0.8,9927.5,-61.8,-0.6
VERTOZ,NSE,4828929,CNC,-76,0,1,353.0,0,359.2,-27299.2,-471.2000000000007,-471.2000000000007,-471.2000000000007,0,0,0.0,0.0,0.0,76,353.0,26828.0,26828.0,0,0.0,0.0,76,353.0,26828.0,positions,NSE:VERTOZ,359.2,331.1,359.2,318.5,326.6,-76,-26828.0,-27299.2,-471.2,-471.2000000000007,1.8,1.8,-24817.8,-2481.4,10.0
WELCORP,NSE,3026177,CNC,22,0,1,455.0,0,449.5,9889.0,-119.89999999999964,-119.89999999999964,-119.89999999999964,0,22,454.95,10008.9,10008.9,0,0.0,0.0,0.0,22,454.95,10008.9,0,0.0,0.0,positions,NSE:WELCORP,449.5,459.9,460.0,446.0,451.7,22,10008.9,10120.0,-119.9,111.10000000000036,-1.2,1.1,9937.4,-48.4,-0.5
AMBER,NSE,303361,CNC,0,0,1,0.0,0,3348.9,0.0,495.0,495.0,495.0,0,3,3241.3000000000006,9723.900000000001,9723.900000000001,3,3406.3000000000006,10218.900000000001,10218.900000000001,3,3241.3,9723.900000000001,3,3406.3,10218.900000000001,positions,NSE:AMBER,3348.9,3162.0,3426.0,3162.0,3117.0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,
SJVN,NSE,4834049,CNC,0,0,1,0.0,0,73.45,0.0,258.3999999999978,258.3999999999978,258.3999999999978,0,136,73.65,10016.400000000001,10016.400000000001,136,75.55,10274.8,10274.8,136,73.65,10016.400000000001,136,75.55,10274.8,positions,NSE:SJVN,73.4,74.4,75.6,73.2,73.8,0,0.0,0.0,0.0,0.0,,,0.0,0.0,
ZOMATO,NSE,1304833,CNC,0,0,1,0.0,0,123.3,0.0,294.0,294.0,294.0,0,84,119.25,10017.0,10017.0,84,122.75,10311.0,10311.0,84,119.25,10017.0,84,122.75,10311.0,positions,NSE:ZOMATO,123.3,119.6,123.9,118.2,116.5,0,0.0,0.0,0.0,0.0,,,0.0,0.0,
